#Área,Política,Grupo,Programa,Descripción
#
# Áreas de gasto y Políticas, definidas en la Orden HAP/419/2014 y comunes a todas las EELL.
# Ver http://www.boe.es/diario_boe/txt.php?id=BOE-A-2014-2922
0,,,,Deuda pública
0,1,,,Deuda pública
1,,,,Servicios públicos básicos
1,3,,,Seguridad y movilidad ciudadana
1,5,,,Vivienda y urbanismo
1,6,,,Bienestar comunitario
1,7,,,Medio ambiente
2,,,,Actuaciones de protección y promoción social
2,1,,,Pensiones
2,2,,,Otras prestaciones económicas a favor de empleados
2,3,,,Servicios sociales y promoción social
2,4,,,Fomento del empleo
3,,,,Produccion de bienes públicos de caracter preferente
3,1,,,Sanidad
3,2,,,Educación
3,3,,,Cultura
3,4,,,Deporte
4,,,,Actuaciones de caracter económico
4,1,,,Agricultura ganadería y pesca
4,2,,,Industria y energía
4,3,,,"Comercio, turismo y pequeñas y medianas empresas"
4,4,,,Transporte público
4,5,,,Infraestructuras
4,6,,,"Investigación, desarrollo e innovación"
4,9,,,Otras actuaciones de caracter económico
9,,,,Actuaciones de caracter general
9,1,,,Órganos de gobierno
9,2,,,Servicios de carácter general
9,3,,,Administración financiera y tributaria
9,4,,,Transferencias a otras administraciónes públicas
#
# Programas específicos de Alhama de Murcia
#
0,1,1,0,Deuda Pública
1,3,0,0,Administración general de seguridad y Protección Civil
1,3,5,0,Protección civil
1,5,0,0,Administración general de vivienda y urbanismo
1,5,3,2,Vías públicas
1,6,0,0,Extinción de incendios
1,6,1,0,Saneamiento, abastecimiento y distribución de agua potable
1,6,2,1,Otros servicios de bienestar comunitario
1,6,2,2,Gestión de residuos sólidos urbanos
1,6,2,3,Tratamiento de residuos
1,6,3,0,Limpieza viaria
1,6,5,0,Alumbrado público
1,7,0,0,Administración general del medio ambiente
1,7,1,0,Parques y jardines
2,2,1,0,Otras prestaciones económicas a favor de empleados
2,3,1,0,Administración general de servicios sociales
2,3,1,1,Acción social
2,3,1,2,Promoción social
2,3,1,3,Asistencia a personas dependientes
2,3,1,4,Concejalía mayores
2,4,1,1,Fomento del empleo
2,4,1,2,Mujer
2,4,1,3,Programa mixto de empleo
2,4,2,0,Taller de empleo
3,1,1,0,Acciones públicas relativas a la salud
3,2,0,0,Administración general de educación
3,3,0,0,Administración general de cultura
3,3,2,0,Bibliotecas y archivos
3,3,2,1,Bibliotecas
3,3,2,2,Archivos
3,3,3,0,Museos y artes plásticas
3,3,4,0,Promoción cultural
3,3,6,0,Arqueología y protección del patrimonio
3,3,7,0,Ocio y tiempo libre
3,3,8,0,Fiestas populares y festejos
3,4,0,0,Administración general de deportes
3,4,2,0,Instalaciones deportivas
4,1,0,0,Administración general agricultura
4,1,4,0,Desarrollo rural
4,2,2,0,Industria
4,3,1,0,Comercio
4,3,1,2,Mercados
4,3,2,0,Ordenación y promoción turística
4,4,1,0,"Promoción, mantenimiento y desarrollo del transporte"
4,5,0,0,Administración general de infraestructuras
4,5,4,0,Caminos vecinales
4,5,9,0,Otras infraestructuras
4,9,1,0,Sociedad de la información
4,9,3,0,Oficinas de defensa al consumidor
9,1,2,0,Órganos de gobierno
9,2,0,0,Administración general
9,3,1,0,Política económica y fiscal
9,3,2,0,Gestión del sistema tributario
9,4,1,0,Transferencias a Comunidades Autónomas
9,4,3,0,Transferencias a otras Entidades Locales
9,4,4,0,Transferencias a la Administración General del Estado
# 2017
1,3,4,0,"Ordenación tráfico, estacionamiento y movilidad"
1,3,6,0,Protección y extinción de incendios
1,5,1,0,Urbanismo
1,6,0,2,Alcantarillado
1,7,1,1,Parques
1,7,1,2,Jardines
1,7,2,1,Bicialhama
1,7,2,2,Protección y mejora del medio ambiente
3,2,1,0,Educación preescolar y primaria
3,2,2,0,Educación secundaria
3,2,3,0,Promoción educativa
3,2,4,0,Servicios complementarios de educación
3,4,1,0,Promoción y fomento del deporte
3,4,2,1,Instalaciones deportivas
4,3,0,0,Comercio y turismo
4,3,1,1,Ferias y exposiciones
# 2018
1,3,3,0,Ordenación del tráfico y del estacionamiento
1,5,1,1,Calidad urbana
9,2,0,1,Pedanías
9,2,4,0,Participación ciudadana en pedanías
9,3,3,0,Gestión del patrimonio
# 2019
2,3,1,5,Atención psicosocial
2,3,1,6,Igualdad
3,2,5,0,Medidas alternativas a la expulsión de alumnos escolarizados
3,2,6,0,Servicios complementarios de educación (actividades extraescolares)
3,2,7,0,Fomento de la convivenvia ciudadana
9,2,2,0,Coordinación y organización institucional
# 2020
9,3,4,0,Gestión de la deuda y de la tesorería
