#ANYPPTO,CODFUNCION,CODECOPART,NOMPARTIDA,Inicial,Actual,O,Modif
2013,011,31000,INTERESES PRESTAMOS,12947.53,11649.96,10885.05,-1297.57
2013,011,31900,OTROS GASTOS FINANCIEROS,1000.0,1000.0,1203.6,
2013,011,91300,AMORTIZACION DE PRESTAMOS A LARGO PLAZO,46457.14,47754.71,47754.71,1297.57
2013,130,12000,RETRIBUCIONES BASICAS POLICIA,485594.48,485594.48,538422.57,
2013,130,12100,COMPLEMENTO DESTINO POLICIA,299892.04,299892.04,240567.17,
2013,130,12101,COMPLEMENTO ESPECIFICO POLICIA,363085.31,343835.31,284559.33,-19250.0
2013,130,15000,"PRODUCTIVIDAD NOCHES, FESTIVOS Y PROXIM. POLICIA",60000.0,60000.0,118752.06,
2013,130,15001,SERVICIOS R.E.D. POLICIA LOCAL,,,5400.0,
2013,130,15100,HORAS EXTRAS POLICIA LOCAL,,,23654.57,
2013,130,21006,ORDENACION TRAFICO Y SEMAFOROS,15000.0,15000.0,29195.73,
2013,130,21300,MTO. MAQUINARIA Y UTILLAJE POLICIA,6000.0,6000.0,4342.41,
2013,130,21400,MTO. VEHICULOS POLICIA,14000.0,14000.0,14793.79,
2013,130,21900,"SEÑALIZACION,  MARCAS VIALES Y BANDAS SONORAS",20000.0,20000.0,11057.3,
2013,130,22000,MATERIAL OFICINA POLICIA,1000.0,1000.0,288.78,
2013,130,22103,COMBUSTIBLE VEHICULOS POLICIA,17500.0,17500.0,16894.72,
2013,130,22104,VESTUARIO POLICIA,7500.0,26750.0,30102.94,19250.0
2013,130,22109,MATERIAL TECNICO POLICIA,8000.0,8000.0,372.8,
2013,130,22199,VESTUARIO POLICIA (R.E.),154.98,154.98,154.98,
2013,130,22601,ATENCIONES PROTOCOLARIAS POLICIA,,,4191.8,
2013,130,22602,PUBLICIDAD Y PROPAGANDA POLICIA LOCAL,,,680.87,
2013,130,22606,PARQUE INFANTIL DE TRAFICO,5000.0,7180.0,8576.84,2180.0
2013,130,22704,RETIRADA DE VEHICULOS DE LA VIA PUBLICA,48400.0,48400.0,21285.93,
2013,130,62290,CUARTEL POLICIA LOCAL Y PROTECCION CIVIL (I.R.),60985.94,121971.88,,60985.94
2013,134,21400,MTO. VEHICULOS PROT.CIVIL,4000.0,4000.0,1814.3,
2013,134,22103,COMBUSTIBLE VEHICULOS PROT.CIVIL,2500.0,2500.0,1327.48,
2013,134,22104,VESTUARIO PROT.CIVIL,2000.0,2000.0,4432.03,
2013,134,22111,MATERIAL TECNICO PROT.CIVIL,1200.0,1200.0,1443.62,
2013,134,22600,GASTOS DIVERSOS PROTECCION CIVIL,1100.0,1100.0,1258.86,
2013,134,22601,ATENC. PROTOCOLARIAS PROTECCION CIVIL,,,2544.6,
2013,134,22602,PUBLICIDAD Y PROPAGANDA PROTECC. CIVIL,,,91.36,
2013,134,22706,PLANES DE ACTUACION Y CAMPAÑAS FORMACION P.C,3000.0,3000.0,540.0,
2013,134,62300,MATERIAL TECNICO Y ESPECIAL PROTECC. CIVIL,2000.0,2000.0,,
2013,150,12000,RETRIBUCIONES BASICAS URBANISMO,476226.71,476226.71,476721.71,
2013,150,12100,COMPLEMENTO DESTINO URBANISMO,267847.9,267847.9,190143.12,
2013,150,12101,COMPLEMENTO ESPECIFICO URBANISMO,393293.32,390126.49,270541.58,-3166.83
2013,150,21000,REPAR. Y CONSERV. DE INFRAESTRUCTURAS,4130.0,4130.0,8986.24,
2013,150,21200,MTO. Y CONSERVACION ESPACIOS PUBLICOS,40000.0,40000.0,42846.75,
2013,150,21201,CUOTA MTO. EDIFICIOS Y OTRAS INSTALACIONES,1000.0,1000.0,337.05,
2013,150,21300,MANT. MAQUINARIA Y APARATOS DE URBANISMO,,,1427.8,
2013,150,22101,MATERIAL TECNICO Y ESPECIAL URBANISMO,1000.0,1000.0,2122.72,
2013,150,22600,GASTOS DIVERSOS URBANISMO,5000.0,5000.0,10.89,
2013,150,22602,PUBLICIDAD Y PROPAGANDA URBANISMO,,,181.5,
2013,150,22699,OTROS GASTOS DE URBANISMO,,,5865.17,
2013,150,22701,PARKING MUNICIPAL,,,18150.0,
2013,150,22706,"PROYECTOS, ESTUDIOS Y TRAB. TECNICOS URBANISMO",30000.0,30000.0,2282.45,
2013,150,22707,AGUAS MINEROMEDICINALES,5000.0,5000.0,153.85,
2013,150,22709,OBRAS DE EJECUCION SUBSIDIARIA,1000.0,10306.51,13541.51,9306.51
2013,150,60000,COMPRA DE TERRENOS,98000.0,98000.0,,
2013,150,60090,INVERSIONES TERRENOS P.M.S. (I.R.),,760235.0,124142.25,760235.0
2013,150,60091,REINCORPORACION A P.M.S. (I.R.),,102853.0,,102853.0
2013,150,60092,UNIDADES DE ACTUACION VARIAS (I.R.),,4254.0,402.43,4254.0
2013,150,60093,CAMPO DE VUELO,1200000.0,1200000.0,,
2013,150,60094,POLARIS WORLD,355292.45,355292.45,,
2013,150,60990,ACTUACIONES P.P. LOS SECANOS (I.R.),,103354.0,,103354.0
2013,150,61991,CONTR. ESPEC. RESTAURAC. FACHADAS C/ LARGA (I.R.),,448.0,,448.0
2013,150,62100,ADQUIS. DE BIEN ADJUDICADO EN 2ª SUBASTA,,3166.83,3166.83,3166.83
2013,150,62290,ACONDICIONAMIENTO NUEVO ALMACEN MPAL. (I.R.),,20000.0,,20000.0
2013,155,13100,PERS. LABORAL EVENTUAL OBRAS Y SERV.,45371.2,45371.2,58729.67,
2013,155,13101,OTRO PERSONAL LABORAL PEONES AGRICOLAS,38548.44,38548.44,89021.3,
2013,155,21000,MANTENIMIENTO VIAS PUBLICAS,50000.0,55347.35,51108.18,5347.35
2013,155,21001,SUMINISTRO CARTELERIA LICENCIAS OBRA,10890.0,10890.0,60.5,
2013,155,21200,MANT. DE EDIFICIOS E INSTALAC. PUBLICAS,,,16114.76,
2013,155,21400,MANTENIMIENTO VEHICULOS BRIGADAS,,,6721.01,
2013,155,22100,MATERIALES MTO. CONSERVACION ESPACIOS PUBLICOS,16000.0,13648.0,4977.13,-2352.0
2013,155,22104,VESTUARIO PERSONAL OBRAS Y SERV.,,,293.55,
2013,155,22111,MATERIALES Y SUMINISTROS BRIGADAS,,,1099.2,
2013,155,60990,PLAN ASFALTO 2009 (I.R.),,932.0,,932.0
2013,155,60991,DESARROLLO RURAL CAMINO LOS MOLINOS (I.R.),,1165.0,,1165.0
2013,155,61990,ADECUAC. DE ACCESOS A NUCLEO URBANO DEL BERRO (I.R,,50000.0,,50000.0
2013,155,61992,PAVIM. C/ CAÑADAS Y OTR. P.O.S. 2012 (I.R.),,24651.0,,24651.0
2013,155,62200,MURAL CERAMICO,40000.0,40000.0,,
2013,155,62400,VEHICULOS BRIGADA,50000.0,52352.0,2352.0,2352.0
2013,161,22502,"CANON VERTIDOS, SANEAM. Y OTROS",9000.0,9000.0,5339.49,
2013,161,22700,SUMINISTRO AGUA POTABLE,3301000.0,3301000.0,2519103.35,
2013,161,31999,M.C.T. (R.E.),282745.5,282745.5,282745.5,
2013,161,60900,CONSTR. DE TUBOS Y ARQUETAS SANEAM. GEBAS,,14891.23,14891.23,14891.23
2013,161,61900,MEJORA RED DE ABASTECIMIENTO DE AGUA,100000.0,100000.0,,
2013,161,63290,REDES SANEAMIENTO EN C/ CONDE DE ELDA (I.R.),,9378.0,9378.0,9378.0
2013,161,63291,REDES DE SANEAMIENTO EN C/ ALQUERIAS (I.R.),,6360.0,,6360.0
2013,163,22700,RECOGIDA DE R.S.U. Y LIMPIEZA VIARIA,1905484.04,1905484.04,1880411.67,
2013,163,22701,ELIMINACION Y TRATAMIENTO DE R.S.U.,289545.72,274654.49,290464.17,-14891.23
2013,163,22702,RETIRADA DE RESIDUOS VEGETALES,,,2830.3,
2013,165,21300,MTO. ALUMBRADO PUBLICO,30000.0,30000.0,45671.5,
2013,165,21301,MTO. ALUMBRADO EDIFICIOS PUBLICOS,10000.0,10000.0,16310.79,
2013,165,22501,TASAS ALUMBRADO PUBLICO,3500.0,3500.0,2514.96,
2013,165,22710,INSTALAC.  ELECTRICAS ACTOS EVENTUALES,65000.0,65000.0,69681.13,
2013,165,60990,ALUMBRADO PUBLICO BARRIO SAN JOSE (I.R.),,15262.0,,15262.0
2013,165,61991,ALUMBR. PUBL. EN GEBAS Y PARQUE LA CUBANA (I.R.),,117.0,,117.0
2013,165,63292,ALUMBR. PUBLICO BO. LOS DOLORES Y OTR. (I.R.),,15687.0,,15687.0
2013,169,22700,RECOGIDA DE ENSERES,7776.0,7776.0,7920.0,
2013,169,22703,CONTROL DE AVIFAUNA,8445.8,8445.8,4608.0,
2013,169,22707,RECOGIDA Y CONTROL ANIMALES EN VIA PUBLICA,9240.0,9240.0,9028.25,
2013,169,22799,RECOGIDA Y CONTROL ANIMALES V.P (R.E.),2250.0,2250.0,1500.0,
2013,170,12000,RETRIB. BASICAS MEDIO AMBIENTE,24732.98,24732.98,14716.29,
2013,170,12100,COMPLEMENTO DESTINO MEDIO AMBIENTE,13254.71,13254.71,5828.37,
2013,170,12101,COMPLEMENTO ESPECIFICO MEDIO AMBIENTE,17116.54,17116.54,7667.52,
2013,170,21200,MTO. ECOPARQUE,2000.0,2000.0,,
2013,170,21201,MANTENIMIENTO BICIALHAMA,4500.0,500.0,,-4000.0
2013,170,21299,MTO. BICIALHAMA (R.E.),191.75,191.75,191.75,
2013,170,22600,GTOS. DIVERSOS MEDIOAMBIENTE,1000.0,1000.0,1231.38,
2013,170,22602,PUBLICIDAD Y PROPAGANDA MEDIO AMBIENTE,,,843.37,
2013,170,22603,HUERTOS ECOLOGICOS FAMILIARES,6000.0,6000.0,14076.97,
2013,170,22608,CONSERVACION DE LA MALVASIA -PROY. LIFE-,19836.0,19836.0,,
2013,170,22609,FORMACION Y DIVULGACION MEDIO AMBIENTE,12000.0,854.8,475.35,-11145.2
2013,170,22611,SENDEROS ECOTURISTICOS,5000.0,5000.0,4341.42,
2013,170,22690,CONSERVAC. DE LA MALVASIA. PROYECTO LIFE (I.R.),,47585.0,2127.78,47585.0
2013,170,22700,RECOGIDA RESIDUOS BIOSANITARIOS Y OTROS,3160.0,3160.0,1179.09,
2013,170,22704,"RECOGIDA PILAS, ACEITES Y RESID. INDUSTRIALES",4000.0,4000.0,170.28,
2013,170,22706,GESTION Y ADECUAC. AMBIENTAL PARCELAS MPALES.,6000.0,6000.0,,
2013,170,22709,GESTION ECOPARQUE,20000.0,20000.0,16851.06,
2013,170,22790,TRABAJOS REALIZ. POR EMPRESAS Y PROFESIONALES,,4500.0,4500.0,4500.0
2013,170,24000,EDICIONES Y OTRAS PUBLICACIONES MED. AMB.,1000.0,1000.0,629.2,
