#codeconcept,nomconcept,iniciales,modificados,definitivos,reconocidos
11200,I.B.I RUSTICA,871000,0,871000,926257.53
11300,IBI URBANO,5795000,0,5795000,4654873.42
11400,I.B.I. DE CARACTERISTICAS ESPECIALES,24000,0,24000,35778.01
11500,IMPUESTO SOBRE VEHICULOS TRACCION MECANICA,850000,0,850000,845538.91
11600,IMPUESTO INCREMENTO VALOR TERRENOS NATURALEZA URBA,900000,0,900000,997369.02
13000,IMPUESTO SOBRE ACTIVIDADES ECONOMICAS,327000,0,327000,362700.92
29000,I.C.I.O,303000,0,303000,719922.51
30000,ABASTECIMIENTO AGUA,3301000,0,3301000,2519103.35
30200,RECOGIDA BASURAS,755000,0,755000,1012291.27
32100,LIC. UBANISTICAS,67000,0,67000,83524.04
32300,OTROS SERVICIOS URB. LICENCIAS DE ACTIVIDAD,20000,0,20000,19151.62
32500,TASA EXPEDICION DOCUMENTOS,198000,0,198000,74278.8
32501,EXP. DOCUMENTOS PLAN.URB.,332000,0,332000,0
32600,TASA RETIRADA VEHICULOS,14000,0,14000,9143.06
33100,VADO VEHICULOS,70000,0,70000,70347.36
33200,MERCADO,66000,0,66000,69936.4
33201,TASA QUIOSCOS Y PUESTOS,7000,0,7000,22067.28
33202,TASA MESAS Y SILLAS,26000,0,26000,13820.12
33203,PLAZA ABASTOS,17000,0,17000,17886
33300,TASA EMPRESA TELECOMUNICACION,53000,0,53000,-41045.41
33301,EMPRESA DISTRIBUIDORA SERVICIOS(IBERDR. Y GAS),485000,0,485000,574443.68
33400,TASA APERTURA ZANJAS,17000,0,17000,2675.25
33500,FERIA OTROS USOS DPL,16370,0,16370,1107.4
33800,COMPENSACION TELEFONICA ESPAÑA S.A.,53000,0,53000,24025.1
33900,TASA PLACA VADOS,1000,0,1000,720
34000,AYUDA A DOMICILIO,11000,0,11000,18250
34100,CENTRO ESTANCIAS DIURNAS,24000,0,24000,41162.86
34101,P.P. TELEASISTENCIA,13000,0,13000,0
34200,P.P. ESCUELA INFANTIL,222000,0,222000,204479.42
34201,P.P.ESC. VERANO,12000,0,12000,9799
34202,P.P. PROXIMIDAD MATUTINA,7100,0,7100,9576
34203,P.P. CURSO MANIPULADOR ALIMENTOS,1000,0,1000,0
34204,P.P. ESCUELA MUSICA Y CORAL,52000,0,52000,46886
34300,PISCINAS,196000,0,196000,105742.84
34301,P.P. ESCUELAS DEPORTIVAS,116000,0,116000,127453.81
34302,P.P. INSTALACIONES MUNICIPALES,59000,0,59000,52344.15
34303,P.P. PARKING MUNICIPAL,40000,0,40000,37250.6
34304,CESION PARCELAS HUERTOS ECOLOGICOS,5760,0,5760,4488
34400,"P.P.CINE, TEATRO, OTROS ESPECTACULOS",9000,0,9000,17696
34700,P.P. TALLERES TIEMPO LIBRE,13000,0,13000,13875
34701,ENLACES MATRIMONIALES,1000,0,1000,1710
35000,CONTRIBUCIONES ESPECIALES P.E.ZONA 17-01 Y 16-01,0,0,0,10559.25
35100,CONTRIB.ESPEC.U.A. C/TOMILLO 2012,0,0,0,0
38900,REINTEGROS DE EJERCICIOS CERRADOS,0,0,0,10237.87
39100,MULTAS INFRACCIONES URBANISTICAS,511000,0,511000,295153.94
39120,MULTAS CIRCULACION,83000,0,83000,43959.1
39190,OTRAS MULTAS Y SANCIONES,11000,0,11000,21376.41
39210,RECARGO EJECUTIVO,80000,0,80000,21707.03
39211,RECARGO DE APREMIO,0,0,0,121228.97
39300,INTERESES DE DEMORA,177000,0,177000,165395.54
39600,ACTUACIONES URBANISTICAS,0,0,0,0
39603,APROVECH. URBANISTICOS CAMPO DE VUELO,1200000,0,1200000,0
39604,APROVECHAM. URBANIST. POLARIS WORLD,355292.45,0,355292.45,0
39700,APROVECHAMIENTOS URBANISTICOS,0,0,0,85745.28
39900,RECURSOS EVENTUALES,1000,0,1000,13233.75
39902,EJECUCION DE AVALES Y FIANZAS,0,727.02,727.02,727.02
39904,EJECUCIONES SUBSIDIARIAS,0,8579.49,8579.49,21474.19
39908,COSTAS PROCEDIMENTALES,0,0,0,9602.62
42000,PARTICIPACION TRIBUTOS ESTADO (F.N.C.M.),4185000,0,4185000,3649670.76
42002,MTO.JUZGADO DE PAZ,0,0,0,2317
42003,EMPLEO PUBLICO LOCAL SEF (2011),0,0,0,138770.85
42004,SEF. MTO ESPACIOS PUBLICOS 2013,0,0,0,110850.7
42010,COMPENSACION IAE,182000,0,182000,138998.98
42011,AYUDAS POR SINIESTROS Y CATASTROFES,0,7696.7,7696.7,7696.7
45002,MTO CENTRO ATENCION TEMPRANA,42120,0,42120,42120
45003,MTO CENTRO DIA DISCAPACITADOS,170144,0,170144,155515.12
45004,PRESTACIONES BASICAS SERVICIOS SOCIALES,187468,0,187468,448995
45005,PROGRAMA DE INSERCION SOCIAL,0,0,0,1461.43
45006,PROGRAMA DEPENDENCIAS,0,0,0,23672
45012,CTRO DE DIA MAYORES,189000,0,189000,150154.05
45013,PERSONAL CAVI,19626.37,0,19626.37,9240
45014,PROG.DROGODEPENDENCIA,12000,0,12000,4500
45030,SERVICIO PROXIMIDAD MATUTINO,0,0,0,11281.38
45033,CONVENIO FUNCIONAMIENTO MUJER,35913.33,0,35913.33,0
45034,MEDIDAS ALTERNATIVAS EXPULSION ESCOLAR,5678,0,5678,5721
45050,AGENTE DESARROLLO LOCAL,27045,0,27045,27045
45052,CURSOS CENTRO EMPLEO,42412.5,0,42412.5,20790
45053,SUBV.CARM. PROYECTO MALVASIA,14877,0,14877,7916
45054,UESCARM,300000,0,300000,450000
45055,FUNCIONAMIENTO CENTRO LOCAL EMPLEO,0,0,0,22975.3
45058,INTERESES CAMPO DE FUTBOL,7873.28,0,7873.28,7873.28
45059,CONSERVACION DE LA MALVASIA. PROYECTO LIFE,0,0,0,14877
47001,CONVENIO ECOEMBES(RECOGIDA SELECTIVA),4000,0,4000,0
47002,COLABORACION EMPRESAS,0,4363.2,4363.2,9463.2
47003,PERSONAL URBASER (SALARIO),49000,0,49000,21320
47004,COLABORACION DE EMPRESAS EN P.I.T.,0,2180,2180,2180
47007,PERSONAL URBASER,0,0,0,17900
