#IDCONCEPTO,ANYPPTO,INDESREM,CODORGANIC,CODFUNCION,CODECOCONC,CLAVEESPEC,NOMCONCEPT,Inicial,Modifica,Actual,DRAnul,DRCanc,DROtrasAnul,DRNeto,DR,OI,I,DevI,INeto,Saldo,Deudores,% DR s/ Prev,% I Neto s/ DR
2877.0,2014.0,,,,11200,,I.B.I RUSTICA,922000.0,0.0,922000.0,89999.67,50737.59,39262.08,892523.05,982522.72,0.0,799024.98,19516.1,779508.88,29476.95,113014.17,96.8029338395,87.3376749206
2988.0,2014.0,,,,11209,,IBI RUSTICA FRACCIONAMIENTOS,0.0,0.0,0.0,2678.45,0.0,2678.45,30129.01,32807.46,0.0,27513.77,0.0,27513.77,-30129.01,2615.24,0.0,91.3198608252
2866.0,2014.0,,,,11300,,IBI URBANO,5931000.0,0.0,5931000.0,1709050.69,110221.74,1598828.95,4846191.17,6555241.86,0.0,4029513.61,40442.29,3989071.32,1084808.83,857119.85,81.7095122239,82.3135361373
2989.0,2014.0,,,,11309,,IBI URB. FRACCIONAMIENTOS,0.0,0.0,0.0,743040.04,7488.62,735551.42,1570843.37,2313883.41,0.0,1401211.83,0.0,1401211.83,-1570843.37,169631.54,0.0,89.2012441699
2867.0,2014.0,,,,11400,,I.B.I. DE CARACTERISTICAS ESPECIALES,36000.0,0.0,36000.0,731.92,731.92,0.0,25772.9,26504.82,0.0,19602.6,0.0,19602.6,10227.1,6170.3,71.5913888889,76.0589611569
2879.0,2014.0,,,,11500,,IMPUESTO SOBRE VEHICULOS TRACCION MECANICA,868000.0,0.0,868000.0,14970.56,3161.5,11809.06,860252.87,875223.43,0.0,739798.22,4275.84,735522.38,7747.13,124730.49,99.1074735023,85.5007179459
2991.0,2014.0,,,,11509,,IVTM. FRACCIONAMIENTOS,0.0,0.0,0.0,7809.81,0.0,7809.81,10991.94,18801.75,0.0,5254.54,0.0,5254.54,-10991.94,5737.4,0.0,47.8035724358
2880.0,2014.0,,,,11600,,IMPUESTO INCREMENTO VALOR TERRENOS NATURALEZA URBA,1204000.0,0.0,1204000.0,42025.32,15240.12,26785.2,1334720.61,1376745.93,0.0,1145214.25,2178.01,1143036.24,-130720.61,191684.37,110.857193522,85.6386146611
2992.0,2014.0,,,,11609,,IIVTNU. FRACCIONAMIENTOS,0.0,0.0,0.0,970423.15,382.16,970040.99,1553885.98,2524309.13,0.0,46965.9,0.0,46965.9,-1553885.98,1506920.08,0.0,3.02248045252
2868.0,2014.0,,,,13000,,IMPUESTO SOBRE ACTIVIDADES ECONOMICAS,279000.0,0.0,279000.0,9938.35,134.62,9803.73,430315.72,440254.07,0.0,422689.25,4985.47,417703.78,-151315.72,12611.94,154.23502509,97.0691426286
2993.0,2014.0,,,,13009,,IAE. FRACCIONAMIENTOS,0.0,0.0,0.0,0.0,0.0,0.0,3821.43,3821.43,0.0,2989.99,0.0,2989.99,-3821.43,831.44,0.0,78.2426997224
2983.0,2014.0,,,,17100,,RECARGO PROVINCIAL IAE,0.0,0.0,0.0,56.09,56.09,0.0,111766.58,111822.67,0.0,107172.7,0.0,107172.7,-111766.58,4593.88,0.0,95.8897552381
2994.0,2014.0,,,,17109,,RECARGO PROV.IAE. FRACCIONAMIENTOS,0.0,0.0,0.0,0.0,0.0,0.0,1592.25,1592.25,0.0,1579.36,0.0,1579.36,-1592.25,12.89,0.0,99.1904537604
2881.0,2014.0,,,,29000,,I.C.I.O,929500.0,0.0,929500.0,61912.85,1593.78,60319.07,375636.31,437549.16,0.0,353274.73,50890.52,302384.21,553863.69,73252.1,40.4127283486,80.4991961507
2995.0,2014.0,,,,29009,,ICIO. FRACCIONAMIENTOS,0.0,0.0,0.0,55542.33,0.0,55542.33,171471.72,227014.05,0.0,41143.06,0.0,41143.06,-171471.72,130328.66,0.0,23.9940790236
2882.0,2014.0,,,,30000,,ABASTECIMIENTO AGUA,2800000.0,0.0,2800000.0,0.0,0.0,0.0,2692279.53,2692279.53,0.0,1929652.53,0.0,1929652.53,107720.47,762627.0,96.1528403571,71.673557983
2883.0,2014.0,,,,30200,,RECOGIDA BASURAS,794000.0,0.0,794000.0,30638.33,18146.92,12491.41,787149.8,817788.13,0.0,683296.52,4484.37,678812.15,6850.2,108337.65,99.1372544081,86.2367175854
2996.0,2014.0,,,,30209,,RESIDUOS. FRACCIONAMIENTOS,0.0,0.0,0.0,5116.8,803.52,4313.28,13392.09,18508.89,0.0,5829.57,0.0,5829.57,-13392.09,7562.52,0.0,43.5299493955
2878.0,2014.0,,,,32100,,LIC. UBANISTICAS,77000.0,0.0,77000.0,2983.4,805.0,2178.4,63106.76,66090.16,0.0,48136.16,0.0,48136.16,13893.24,14970.6,81.9568311688,76.2773433464
2997.0,2014.0,,,,32109,,TASA LIC. OBRAS. FRACCIONAMIENTOS,0.0,0.0,0.0,1692.0,0.0,1692.0,1011.0,2703.0,0.0,125.0,0.0,125.0,-1011.0,886.0,0.0,12.3639960435
2884.0,2014.0,,,,32300,,OTROS SERVICIOS URB. LICENCIAS DE ACTIVIDAD,18000.0,0.0,18000.0,550.25,187.5,362.75,15249.6,15799.85,0.0,12654.9,131.25,12523.65,2750.4,2725.95,84.72,82.1244491659
2998.0,2014.0,,,,32309,,TASA LIC. APERTURA. FRACCIONAMIENTOS,0.0,0.0,0.0,0.0,0.0,0.0,459.3,459.3,0.0,459.3,0.0,459.3,-459.3,-1.42108547152e-14,0.0,100.0
2885.0,2014.0,,,,32500,,TASA EXPEDICION DOCUMENTOS,86000.0,0.0,86000.0,230.0,0.0,230.0,36292.85,36522.85,0.0,29976.85,30.0,29946.85,49707.15,6346.0,42.2009883721,82.514462215
2914.0,2014.0,,,,32501,,EXP. DOCUMENTOS PLAN.URB.,105000.0,0.0,105000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105000.0,0.0,0.0,0.0
