#ANYPPTO,CODECOCONC,NOMCONCEPT,Inicial,Modifica,Actual,DRNeto
2015,11200,I.B.I RUSTICA,924000.0,,924000.0,954017.61
2015,11209,IBI RUSTICA FRACCIONAMIENTOS,,,,10667.58
2015,11300,IBI URBANO,6438000.0,,6438000.0,5802988.76
2015,11309,IBI URBANA FRACCIONAMIENTOS,,,,2010285.85
2015,11400,I.B.I. DE CARACTERISTICAS ESPECIALES,26000.0,,26000.0,25097.94
2015,11500,IMPUESTO SOBRE VEHICULOS TRACCION MECANICA,869000.0,,869000.0,857507.3
2015,11509,IVTM FRACCIONAMIENTOS,,,,12655.75
2015,11600,IMPUESTO INCREMENTO VALOR TERRENOS NATURALEZA URBA,1292000.0,4459000.0,5751000.0,9606968.62
2015,11609,IIVTNU  FRACCIONAMIENTOS,,,,58787.46
2015,13000,IMPUESTO SOBRE ACTIVIDADES ECONOMICAS,301000.0,,301000.0,440881.3
2015,13009,IAE FRACCIONAMIENTOS,,,,596.07
2015,19000,RECARGO PROVINCIAL IAE,,,,102541.18
2015,19009,RECARGO PROVINCIAL IAE FRACCIONAMIENTOS,,,,88.83
2015,29000,I.C.I.O,449000.0,320000.0,769000.0,883895.13
2015,29009,ICIO FRACCIONAMIENTOS,,,,5349.1
2015,30000,ABASTECIMIENTO AGUA,2800000.0,190928.08,2990928.08,2990928.1
2015,30200,RECOGIDA BASURAS,798000.0,,798000.0,801570.5
2015,30209,RESIDUOS FRACCIONAMIENTOS,,,,9380.05
2015,32100,LIC. UBANISTICAS,60000.0,,60000.0,90147.85
2015,32109,TASA LIC.OBRAS FRACCIONAMIENTOS,,,,1660.0
2015,32300,OTROS SERVICIOS URB. LICENCIAS DE ACTIVIDAD,17000.0,,17000.0,20823.82
2015,32309,LIC.APERTURA FRACCIONAMIENTOS,,,,385.25
2015,32500,TASA EXPEDICION DOCUMENTOS,26000.0,,26000.0,37484.95
2015,32501,EXP. DOCUMENTOS PLAN.URB.,97000.0,,97000.0,
2015,32509,EXPED.DOCUMENTOS FRACCIONAMIENTOS,,,,300.0
2015,32600,TASA RETIRADA VEHICULOS,13000.0,,13000.0,13454.16
2015,32609,DEPOSITO Y RETIRADA VEH FRACCIONAMIENTOS,,,,59.4
2015,33100,VADO VEHICULOS,69000.0,,69000.0,70793.38
2015,33109,VADOS FRACCIONAMIENTOS,,,,542.65
2015,33200,"OCUP.VIA MERCADO,",71000.0,,71000.0,71260.67
2015,33201,TASA QUIOSCOS Y PUESTOS,1000.0,,1000.0,23705.74
2015,33203,PLAZA ABASTOS,18000.0,,18000.0,16520.1
2015,33209,OCUP. SUELO FRACCIONAMIENTOS,,,,1942.21
2015,33210,QUIOSCOS FRACCIONAMIENTOS,,,,28.6
2015,33301,EMPRESA DISTRIBUIDORA SERVICIOS(IBERDR. Y GAS),517000.0,,517000.0,585808.57
2015,33400,TASA APERTURA ZANJAS,27000.0,,27000.0,4878.8
2015,33500,MESAS Y SILLAS,18000.0,,18000.0,10622.37
2015,33509,MESAS SILLAS  FRACCIONAMIENTOS,,,,55.79
2015,33600,PUESTOS,9000.0,,9000.0,
2015,33601,FERIA,17000.0,,17000.0,
2015,33800,COMPENSACION TELEFONICA ESPAÑA S.A.,23000.0,,23000.0,19548.3
2015,33900,"TASA PLACA VADOS, ESCOMBROS",1000.0,,1000.0,1872.25
2015,33909,TASA PLACA VADOS  FRACCIONAMIENTOS,,,,31209.79
2015,34000,AYUDA A DOMICILIO,6000.0,,6000.0,4787.2
2015,34100,"CENTRO ESTANCIAS DIURNAS, TELEASISTENCIA",68000.0,,68000.0,59431.24
2015,34109,C.E.DIURNAS FRACCIONAMIENTOS,,,,1037.02
2015,34200,"P.P. ESCUELA INFANTIL, E.MUSICA, EDUCAV PROXIMIDAD",285000.0,,285000.0,278266.37
2015,34201,E.I. LOS SECANOS,15015.0,,15015.0,
2015,34204,CURSOS MANIPULADOR ALIMENTOS,1000.0,,1000.0,
2015,34209,"ESC. INFANTIL. E.MUSICA, PROXIM  FRACCIONAMIENTOS",,,,598.59
2015,34300,"PISCINAS, E.DEPORTIVAS,",269000.0,,269000.0,236313.92
2015,34302,P.P. INSTALACIONES MUNIC.Y DEPORTIVAS,13000.0,,13000.0,29334.03
2015,34303,P.P. PARKING MUNICIPAL,46000.0,,46000.0,51397.08
2015,34400,"P.P.CINE, OTROS ESPECTACULOS",14000.0,,14000.0,3051.0
2015,34401,TAQUILLA TEATRO,5000.0,,5000.0,8249.0
2015,34402,TALLERES,30000.0,,30000.0,19336.68
2015,34403,"CUOTAS PROG.""UN RATITO MAS""",,,,9136.0
2015,34409,TALLERES   FRACCIONAMIENTOS,,,,169.86
2015,34701,ENLACES MATRIMONIALES,1000.0,,1000.0,
2015,34900,HUERTOS ECOLOGICOS,8000.0,,8000.0,5400.0
2015,35000,COMP.ZONA 17-01,,,,4503.0
2015,38900,REINTEGROS DE EJERCICIOS CERRADOS,,,,10504.18
2015,39100,MULTAS INFRACCIONES URBANISTICAS,328000.0,,328000.0,123945.5
2015,39109,INFRAC.URB.  FRACCIONAMIENTOS,,,,41171.38
2015,39120,MULTAS CIRCULACION,78000.0,,78000.0,97061.07
2015,39129,MULTAS  FRACCIONAMIENTOS,,,,2461.24
2015,39190,OTRAS MULTAS Y SANCIONES,25000.0,,25000.0,13957.19
2015,39199,SANCION GUBERN Y MEDIOAMB.  FRACCIONAMIENTOS,,,,4578.68
2015,39210,RECARGO EJECUTIVO Y COSTAS,113000.0,,113000.0,220194.14
2015,39211,RECARGO DE APREMIO,,,,55427.1
2015,39300,INTERESES DE DEMORA,161000.0,119338.82,280338.82,663539.9
2015,39309,INTERESES DEMORA  FRACCIONAMIENTOS,,,,149.21
2015,39700,APROVECHAMIENTOS URBANISTICOS,,,,56054.64
2015,39900,RECURSOS EVENTUALES,1000.0,,1000.0,22340.48
2015,39904,EJECUCIONES SUBSIDIARIAS,1.0,78114.95,78115.95,16618.47
2015,39909,EJEC.SUBSIDIARIAS FRACCIONAMIENTOS,,,,
2015,42000,PARTICIPACION TRIBUTOS ESTADO (F.N.C.M.),3755000.0,,3755000.0,3739734.42
