#IDCONCEPTO,AÑO,INDESREM,CODORGANIC,CODFUNCION,COD.ECON.,CLAVEESPEC,CONCEPTO,Inicial,Modifica,Actual,DRAnul,DRCanc,DROtrasAnul,DRNeto,DR,OI,I,DevI,INeto,Saldo,Deudores,% DR s/ Prev,% I Neto s/ DR
3205.0,2016.0,,,,11200,,I.B.I RUSTICA,1054000.0,0.0,1054000.0,44373.54,0.0,44373.54,1096808.0,1141181.54,0.0,938128.81,9503.16,928625.65,-42808.0,168182.35,104.061480076,84.6661995536
3273.0,2016.0,,,,11209,,IBI RUSTICA FRACCIONAMIENTOS,0.0,0.0,0.0,779.76,0.0,779.76,2403.5,3183.26,0.0,1255.03,0.0,1255.03,-2403.5,1148.47,0.0,52.2167672145
3195.0,2016.0,,,,11300,,IBI URBANO,6715000.0,0.0,6715000.0,404812.62,0.0,404812.62,6764695.42,7169508.04,0.0,5292771.83,12843.85,5279927.98,-49695.42,1484767.44,100.740065823,78.0512299843
3274.0,2016.0,,,,11309,,IBI URBANA FRACCIONAMIENTOS,0.0,0.0,0.0,35743.92,0.0,35743.92,63542.85,99286.77,0.0,20134.63,0.0,20134.63,-63542.85,43408.22,0.0,31.6866964576
3196.0,2016.0,,,,11400,,I.B.I. DE CARACTERISTICAS ESPECIALES,26000.0,0.0,26000.0,636.74,0.0,636.74,28978.29,29615.03,0.0,26086.45,0.0,26086.45,-2978.29,2891.84,111.454961538,90.020667196
3207.0,2016.0,,,,11500,,IMPUESTO SOBRE VEHICULOS TRACCION MECANICA,952000.0,0.0,952000.0,12648.96,0.0,12648.96,961617.2,974266.16,0.0,834312.06,4145.92,830166.14,-9617.2,131451.06,101.010210084,86.3302091518
3276.0,2016.0,,,,11509,,IVTM FRACCIONAMIENTOS,0.0,0.0,0.0,4320.29,0.0,4320.29,9657.08,13977.37,0.0,3566.18,0.0,3566.18,-9657.08,6090.9,0.0,36.928139769
3208.0,2016.0,,,,11600,,IMPUESTO INCREMENTO VALOR TERRENOS NATURALEZA URBA,980000.0,0.0,980000.0,42439.28,0.0,42439.28,892648.25,935087.53,0.0,679053.98,2701.87,676352.11,87351.75,216296.14,91.0865561224,75.7691632734
3277.0,2016.0,,,,11609,,IIVTNU  FRACCIONAMIENTOS,0.0,0.0,0.0,1391.0,0.0,1391.0,6337.29,7728.29,0.0,1820.54,0.0,1820.54,-6337.29,4516.75,0.0,28.7274213426
3197.0,2016.0,,,,13000,,IMPUESTO SOBRE ACTIVIDADES ECONOMICAS,437000.0,0.0,437000.0,437379.47,0.0,437379.47,579449.41,1016828.88,0.0,472189.73,8413.08,463776.65,-142449.41,115672.76,132.597118993,80.037470398
