#AÑO,CODFUNCION,CODECOPART,NOMPARTIDA,Inicial,Actual,O
2017.0,011,31900,OTROS GASTOS FINANCIEROS,2300.0,2300.0,2299.88
2017.0,130,12001,RETRIBUCIONES BASICAS POLICIA-A2,28956.88,28956.88,22031.22
2017.0,130,12003,RETRIBUCIONES BASICAS POLICIA-C1,467876.39,467876.39,520364.81
2017.0,130,12004,RETRIBUCIONES BASICAS POLICIA-C2,19705.5,19705.5,23154.85
2017.0,130,12100,COMPLEMENTO DESTINO POLICIA,304480.74,304480.74,230401.82
2017.0,130,12101,COMPLEMENTO ESPECIFICO POLICIA,563125.61,563125.61,413517.87
2017.0,130,15000,PRODUCTIVIDAD FUNCIONARIOS POLICIA,51782.09,51782.09,47295.53
2017.0,130,15001,SERVICIOS R.E.D. POLICIA LOCAL,15000.0,15000.0,0.0
2017.0,130,15100,GRATIFICACIONES POLICIA LOCAL,2000.0,2000.0,31606.45
2017.0,130,15101,ASISTENCIAS A JUICIOS,2000.0,2000.0,4855.47
2017.0,130,16000,SEGURIDAD SOCIAL FUNCIONARIOS POLICIA,379263.21,379263.21,363526.47
2017.0,130,16200,FORMACION CONTINUA AGENTES POLICIA LOCAL,3000.0,3000.0,0.0
2017.0,130,20300,MTO.  EQUIPOS TRANSMISIONES P.LOCAL,2600.0,2600.0,2550.0
2017.0,130,21200,MANT.  EDIFICIO Y CONSTRUCC. POLICIA,100.0,100.0,1719.68
2017.0,130,21400,MTO. VEHICULOS POLICIA,10000.0,10000.0,21939.12
2017.0,130,21488,(R.E.) MTO. VEHICULOS POLICIA LOCAL,0.0,197.69,197.69
2017.0,130,21600,MTO. Y ACTUALIZAC. PROGRAMAS INFORMATICOS  P.L.,9972.31,9972.31,0.0
2017.0,130,21688,(R.E.) MTO. Y ACTUALIZAC- PROGRAMAS INFORMAT. POLI,0.0,157.88,157.88
2017.0,130,22000,MATERIAL OFICINA POLICIA,600.0,600.0,849.51
2017.0,130,22100,ENERGIA ELECTRICA EDIFICIOS POLICIA Y PROT.CIVIL,12100.0,12100.0,11467.2
2017.0,130,22103,COMBUSTIBLE VEHICULOS POLICIA LOCAL,22000.0,22000.0,11960.45
2017.0,130,22104,VESTUARIO POLICIA,32172.12,32172.12,25073.04
