#a,b,c,d,COFUNCION,CODECOPART,g,Descripción,Inicial,j,Modificación,Actual,O
,,,,011,31900,,OTROS GASTOS FINANCIEROS,2000,,0,2000,0.0
,,,,011,35900,,OTROS GASTOS FINANCIEROS Y COMISIONES,3000,,0,3000,1085.01
,,,,130,12000,,RETRIBUCIONES BASICAS POLICIA A1,16071.44,,0,16071.44,20598.39
,,,,130,12001,,RETRIBUCIONES BASICAS POLICIA-A2,1177.7,,0,1177.7,0.0
,,,,130,12002,,RETRIBUCIONES BASICAS POLICIA B,66800.88,,0,66800.88,60518.85
,,,,130,12003,,RETRIBUCIONES BASICAS POLICIA-C1,439428.8,,0,439428.8,494160.73
,,,,130,12100,,COMPLEMENTO DESTINO POLICIA,312471.53,,-10000,302471.53,252416.1
,,,,130,12101,,COMPLEMENTO ESPECIFICO POLICIA,584845.87,,-95584.42,489261.45,443525.19
,,,,130,15000,,PRODUCTIVIDAD FUNCIONARIOS POLICIA,53279.86,,0,53279.86,46949.19
,,,,130,15002,,SERVICIOS DE REFUERZO POLICIA LOCAL,79880,,0,79880,77880.0
,,,,130,15100,,GRATIFICACIONES POLICIA LOCAL,2000,,0,2000,56367.7
,,,,130,15101,,ASISTENCIAS A JUICIOS,2000,,0,2000,6991.79
,,,,130,16000,,SEGURIDAD SOCIAL FUNCIONARIOS POLICIA,516914.4,,0,516914.4,526676.24
,,,,130,21200,,MANT.  EDIFICIO Y CONSTRUCC. POLICIA,0,,0,0,899.36
,,,,130,21300,,MANTENIMIENTO CENTRALITA POLICIA,4500,,0,4500,0.0
,,,,130,21400,,MTO. VEHICULOS POLICIA,15500,,6000,21500,28715.91
,,,,130,22000,,MATERIAL OFICINA POLICIA,1000,,0,1000,729.38
,,,,130,22100,,ENERGIA ELECTRICA EDIFICIOS POLICIA Y PROT.CIVIL,11000,,0,11000,8862.06
,,,,130,22103,,COMBUSTIBLE VEHICULOS POLICIA LOCAL,14510.56,,0,14510.56,11968.75
,,,,130,22104,,VESTUARIO POLICIA,12000,,4000,16000,15679.55
,,,,130,22106,,GASTO SANITARIO DE PROTECC. CONTRA COVID-19,0,,0,0,788.92
,,,,130,22111,,MATERIAL TECNICO Y OTROS POLICIA LOCAL,14000,,-100,13900,11837.44
,,,,130,22601,,ATENCIONES PROTOCOLARIAS POLICIA LOCAL,400,,100,500,420.7
,,,,130,22699,,GASTOS VARIOS SEGURIDAD VIAL (RADAR),1,,0,1,0.0
,,,,130,22700,,LIMPIEZA EDIFICIOS POLICIA,36000,,0,36000,27982.56
,,,,130,62400,,ADQUISICION VEHICULOS POLICIALES,0,,15972,15972,15972.0
,,,,130,62410,,ADQUISICION 2 VEHICULOS POLICIA LOCAL,0,,51097.94,51097.94,0.0
,,,,130,62900,,OTRAS INVERSIONES GRALES. POLICIA LOCAL,0,,24452.13,24452.13,22433.35
,,,,133,20000,,ARRENDAMIENTO TERRENOS PARA PARKING PUBL.,15000,,0,15000,7386.13
,,,,133,21200,,MANTENIMIENTO PARKING MUNICIPAL,1500,,0,1500,187.67
,,,,133,21300,,"ORDENACION DEL TRAFICO, SEÑALIZACION",30000,,0,30000,29978.01
,,,,133,21301,,MANTENIMIENTO SEMAFOROS,8500,,0,8500,0.0
,,,,133,21600,,APP DE SANCIONES-MULTAS INTEGRADA,726,,0,726,0.0
,,,,133,22701,,RETIRADA VEHICULOS DE LA VIA PUBLICA,42350,,3710.8,46060.8,33513.74
,,,,133,22702,,CTO. GESTION PARKING MUNICIPAL,60000,,0,60000,51070.35
,,,,133,62900,,BALIZAS SOLARES Y OTRAS SEÑALIZACIONES,1000,,0,1000,0.0
,,,,134,22300,,SERVICIO AUTOBUS ALUMNOS C.E. VIAL,2000,,900,2900,0.0
,,,,134,22698,,JORNADA DE LA  ACCESIBILIDAD PsPs Nº 5,5000,,0,5000,0.0
,,,,134,22699,,GASTOS DIV. C.E. VIAL Y CONCURSO EDUC. VIAL,1000,,0,1000,0.0
,,,,135,20400,,ARRENDAMIENTO VEHICULOS PROTECCION CIVIL,0,,0,0,0.0
,,,,135,21300,,MATERIAL TECNICO PROTEC. CIVL,1500,,-300,1200,262.27
,,,,135,21400,,MTO. VEHICULOS PROT. CIVIL,2900,,0,2900,291.97
,,,,135,22103,,COMBUSTIBLE VEHICULOS PROT. CIVIL,1000,,0,1000,40.3
,,,,135,22104,,VESTUARIO PROTEC. CIVIL,2000,,2044.63,4044.63,2544.63
,,,,135,22105,,CATERING VOLUNTARIOS PROTECC. CIVIL,2000,,0,2000,1091.85
,,,,135,22601,,ATENCIONES PROTOCOLARIAS PROTECC. CIVIL,0,,500,500,478.08
,,,,135,22606,,CURSOS Y FORMACION PROTEC. CIVIL,1000,,0,1000,300.0
,,,,135,22699,,PLANES ACTUACION PROTECCION CIVIL,3700,,0,3700,5850.0
,,,,135,62900,,INVERSIONES PROTECCION CIVIL,0,,300,300,0.0
,,,,150,12000,,RETRIBUCIONES BASICAS URBANISMO-A1,57493.02,,0,57493.02,70883.33
,,,,150,12001,,RETRIBUCIONES BASICAS URBANISMO-A2,132297.29,,-20000,112297.29,103511.85
,,,,150,12003,,RETRIBUCIONES BASICAS URBANISMO-C1,67980.2,,0,67980.2,84876.14
,,,,150,12004,,RETRIBUCIONES URBANISMO-C2,19996.48,,0,19996.48,21302.34
,,,,150,12100,,COMPLEMENTO DESTINO URBANISMO,169835.4,,0,169835.4,126596.18
,,,,150,12101,,COMPLEMENTO ESPECIFICO URBANISMO,227774.82,,-45100,182674.82,155012.62
,,,,150,14300,,PERSONAL FUNCIONARIO INTERINO URBANISMO,91224.33,,0,91224.33,113154.7
,,,,150,15000,,PRODUCTIVIDAD FUNCIONARIOS URBANISMO,28747.56,,0,28747.56,28374.69
,,,,150,16000,,SEGURIDAD SOCIAL FUNCIONARIOS URBANISMO,180570.68,,-15000,165570.68,150274.16
,,,,150,16001,,SEGURIDAD SOCIAL PERS. LABORAL URBANISMO,28510.84,,0,28510.84,31543.99
,,,,1510,21000,,"MTO. CONSERV. ESP. PUBL., INFRAESTR. Y ACCESIBILID",40000,,-7470.54,32529.46,14711.29
,,,,1510,21200,,CUOTA MTO. EDIFICIOS Y OTR. INSTALACIONES,2500,,0,2500,178.47
,,,,1510,21300,,MTO. MAQUINARIA URBANISMO,500,,0,500,18.15
,,,,1510,21400,,MANTENIMIENTO VEHICULOS OFICINA TECNICA,1000,,0,1000,1062.64
,,,,1510,22000,,"CARTELERIA LICENC. OBRAS, PUBLICACIONES Y OTROS MAT. OFICINA",2500,,0,2500,1234.2
,,,,1510,22103,,COMBUSTIBLE VEHICULOS URBANISMO,2831.04,,0,2831.04,1957.94
,,,,1510,22104,,VESTUARIO PERSONAL URBANISMO,0,,0,0,199.0
,,,,1510,22111,,MATERIAL TECNICO Y ESPECIAL OFICINA TECNICA,1000,,0,1000,254.1
